19137094,18
83767980,4
83767980,15
14656160,1
14656160,3
3532139,3
14656160,3
3532139,5
3532139,2
83767980,4
83767980,6
3532139,3
83767980,2
3532139,3
83767980,7
39516976,15
65462795,3
83767980,6
65462795,2
83767980,6
65462795,2
65462795,1
39516976,7
83767980,4
39516976,24
39516976,4
39516976,5
16694172,3
39516976,24
83767980,5
39516976,2
83767980,4
39516976,12
16694172,4
16694172,2
83767980,1
16694172,77
83767980,2
83767980,2
16694172,6
39516976,21
16694172,1
83767980,10
16694172,1
83767980,5
83767980,2
83767980,1
83767980,2
16694172,2
38550624,6
16694172,3
16694172,5
16694172,6
83767980,1
39516976,3
83767980,2
83767980,2
14656160,10
83767980,5
83767980,10
39516976,4
83767980,5
83767980,7
39516976,22
16694172,7
83767980,5
39516976,11
16694172,12
16694172,8
14656160,7
16694172,12
14656160,3
16694172,3
14656160,7
16694172,5
14656160,6
14656160,4
39516976,6
14656160,3
14656160,10
39516976,5
14656160,4
15861576,7
14656160,1
16694172,1
15861576,2
83767980,3
15861576,4
15861576,2
16694172,13
83767980,9
16694172,23
39516976,5
16694172,5
16694172,6
15861576,9
16694172,1
39516976,5
16694172,42
16694172,4
16694172,2
15861576,1
15861576,2
15861576,11
16694172,5
16694172,1
83767980,8
39516976,23
39516976,2
65462795,2
65462795,5
65462795,2
65462795,1
39516976,22
14656160,10
39516976,2
14656160,2
39516976,10
38550624,8
14656160,3
14656160,5
39516976,14
2024806,5
3532139,2
2024806,1
2024806,1
2024806,6
2024806,1
14656160,21
2024806,6
14656160,4
38550624,5
14656160,7
38550624,1
19137094,2
39516976,23
83767980,11
65462795,1
180577856,14
83767980,4
83767980,3
83767980,1
83767980,3
83767980,11
83767980,1
83767980,2
2024806,4
2024806,1
2024806,33
2024806,2
83767980,1
3532139,7
3532139,8
29823207,2
29823207,6
29823207,6
3532139,4
3532139,3
65747399,5
2024806,4
3532139,32
65747399,1
3532139,3
2024806,3
3532139,1
2024806,2
14656160,6
65747399,1
14656160,2
14656160,1
3532139,3
65747399,7
3532139,2
14656160,6
3532139,1
3532139,1
14656160,1
14656160,8
14656160,4
29823207,2
3532139,11
3532139,3
3532139,4
65747399,6
65747399,5
65747399,1
3532139,4
3532139,5
65747399,7
83767980,3
65747399,3
65747399,2
83767980,2
3532139,3
65747399,1
83767980,1
65747399,1
65747399,1
3532139,7
15861576,7
3532139,6
3532139,7
15861576,2
3532139,9
15861576,16
39516976,29
15861576,6
3532139,69
15861576,3
3532139,4
3532139,7
39516976,72
39516976,3
3532139,12
39516976,12
3532139,10
3532139,16
39516976,11
39516976,8
14656160,10
14656160,3
14656160,6
14656160,6
3532139,11
3532139,2
14656160,1
3532139,2
39516976,99
3532139,4
3532139,5
39516976,15
3532139,14
3532139,6
39516976,3
3532139,5
39516976,6
83767980,1
3532139,3
3532139,1
3532139,1
39516976,39
3532139,3
39516976,47
39516976,24
15861576,7
15861576,6
110076790,3
14656160,1
110076790,1
3532139,6
19137094,1
14656160,1
3532139,6
19137094,7
3532139,6
3532139,7
19137094,2
19137094,2
3532139,30
3532139,10
19137094,9
180577856,1
2024806,1
180577856,2
29823207,2
51371362,2
110076790,2
51371362,2
110076790,2
2024806,2
110076790,1
110076790,3
2024806,1
2024806,1
2024806,1
39516976,1
110076790,3
2024806,1
2024806,2
2024806,2
110076790,1
110076790,2
2024806,1
51371362,1
39516976,6
51371362,3
51371362,3
110076790,1
2024806,2
110076790,3
110076790,2
110076790,1
2024806,3
39516976,7
2024806,1
110076790,2
2024806,8
39516976,1
2024806,3
2024806,1
51371362,3
29823207,2
110076790,2
2024806,1
29823207,1
29823207,1
29823207,3
2024806,1
2024806,2
2024806,1
29823207,2
2024806,1
2024806,2
29823207,1
29823207,4
29823207,1
29823207,1
29823207,1
29823207,1
29823207,1
29823207,3
2024806,1
2024806,2
2024806,1
29823207,2
29823207,1
110076790,3
29823207,1
29823207,2
110076790,5
29823207,3
29823207,5
110076790,1
110076790,1
110076790,5
110076790,9
29823207,11
29823207,3
29823207,3
29823207,2
110076790,7
110076790,3
29823207,3
29823207,4
29823207,5
29823207,3
29823207,4
65462795,4
3532139,1
65462795,1
3532139,3
3532139,12
3532139,2
83767980,1
29823207,5
29823207,3
3532139,5
3532139,2
3532139,2
29823207,5
29823207,5
29823207,3
3532139,14
14656160,1
29823207,2
14656160,5
29823207,4
3532139,11
29823207,4
14656160,2
29823207,14
3532139,7
29823207,10
14656160,10
3532139,7
29823207,1
3532139,9
29823207,2
29823207,7
29823207,12
14656160,7
14656160,4
29823207,7
14656160,4
65462795,3
14656160,3
65462795,4
14656160,1
65462795,1
14656160,3
14656160,1
3532139,4
3532139,7
3532139,6
29823207,6
29823207,3
29823207,5
14656160,3
3532139,5
14656160,2
14656160,2
14656160,6
3532139,5
3532139,3
29823207,5
29823207,3
3532139,4
29823207,1
29823207,4
3532139,3
29823207,2
83767980,4
3532139,2
29823207,7
29823207,1
29823207,8
3532139,16
29823207,3
3532139,4
29823207,1
3532139,7
29823207,4
29823207,2
29823207,1
3532139,3
3532139,2
29823207,6
29823207,3
3532139,2
29823207,6
29823207,6
29823207,5
3532139,20
3532139,2
29823207,3
29823207,2
